ENSDARG00000042370	1	chr17	-	27971144	27976031	27972332,	27975916,
ENSDARG00000004452	1	chr23	+	29357790	29360865	29358455,29358746,29359763,29360116,	29358583,29359623,29359931,29360195,
ENSDARG00000045443	1	chr24	-	4767806	4782052	4769067,	4781922,
ENSDARG00000060236	1	chr1	-	41142881	41192206	41143733,41146244,41148187,41156521,41158535,41165942,41180243,41188054,41191887,	41145921,41148148,41155698,41158428,41165823,41180043,41187824,41191842,41192006,
ENSDARG00000026180	0	chr15	-	28249167	28262632	28249696,28250001,28250263,28250512,28251012,28251331,28251608,28251927,28252121,28252360,28252687,28252973,28253266,28253608,28253830,28254075,28254313,28254572,28255393,28255596,28256039,28256273,28256604,28256909,28257285,28257517,28257787,28258079,28258351,28258557,28258801,28259192,28259411,28259850,28260037,28260258,28260549,28260847,28261409,28261678,28261909,	28249799,28250124,28250372,28250871,28251092,28251415,28251754,28252008,28252232,28252450,28252782,28253106,28253462,28253701,28253906,28254178,28254393,28255146,28255480,28255829,28256127,28256366,28256722,28257093,28257391,28257624,28257873,28258155,28258428,28258667,28258883,28259292,28259660,28259932,28260133,28260337,28260629,28261245,28261510,28261778,28262514,
ENSDARG00000033285	1	chr13	+	25396896	25402772	25396972,25397212,25399914,25400271,25401776,25402046,	25397145,25399806,25400049,25401675,25401940,25402418,
ENSDARG00000016089	1	chr12	-	34876125	34887943	34877222,34880050,34880240,34880461,34882551,34883254,34884716,34885203,34885331,34885474,	34879948,34880146,34880316,34882467,34883194,34883343,34885138,34885283,34885429,34887626,
ENSDARG00000112941	1	chr17	+	12285285	12288484	12285387,12285584,12285725,12286617,12286887,12287328,	12285490,12285675,12286239,12286711,12287240,12288362,
ENSDARG00000005179	0	chr17	-	38738840	38778826	38740870,38744879,38747510,38749810,38751800,38755078,38756842,38758738,38760766,38761111,38768499,38769990,	38744725,38747391,38749662,38751701,38754818,38756639,38758616,38760616,38760913,38768346,38769898,38778823,
ENSDARG00000003127	0	chr21	-	32454896	32467099	32458855,32460948,32461150,32462664,32462869,32464742,32466165,	32460767,32461047,32462540,32462761,32464549,32466058,32466988,
ENSDARG00000079705	1	chr19	-	27522425	27542433	27523299,27529302,27538112,27538352,27540919,27541880,	27529136,27537982,27538297,27540430,27541814,27542109,
ENSDARG00000037655	1	chr14	+	13453130	13525458	13453309,13454936,13460101,13464390,13465409,13465588,13465954,13470921,13476105,13497331,13518997,13519831,13520121,13524099,13524349,	13454845,13459938,13464261,13465277,13465507,13465789,13470779,13476010,13497136,13518919,13519714,13519988,13523976,13524225,13524496,
ENSDARG00000057887	0	chr18	+	16330720	16339902	16330842,16336870,	16336640,16339374,
ENSDARG00000093521	1	chr8	-	13597405	13600274	13598591,	13600187,
ENSDARG00000004176	1	chr16	+	5898878	6182429	5899597,5902441,5902628,5905279,5906997,5907747,5907937,5908097,5908569,5912672,5915329,5916325,5919761,5919939,5921878,5923671,5926377,5939161,5951267,5980293,5982394,5990038,6019790,6021996,6035582,6038062,6038450,6044532,6047984,6051413,6069947,6084776,6101571,6109151,6126588,6174281,	5902304,5902529,5905140,5906829,5907646,5907854,5908022,5908465,5912578,5915260,5916262,5919654,5919879,5921685,5923625,5926299,5939054,5951184,5980132,5982212,5989911,6019657,6021875,6035526,6038011,6038356,6044481,6047807,6051321,6069899,6084671,6101405,6109059,6126403,6174196,6182339,
ENSDARG00000022334	1	chr11	+	12175162	12184543	12176692,12177049,12178432,12178688,12178928,12184268,	12176967,12178276,12178524,12178803,12184048,12184371,
ENSDARG00000058701	1	chr2	+	6926100	6952754	6926725,6927117,6931561,6935433,6937489,6939487,6941455,6945249,6948792,	6927046,6931469,6935375,6937381,6939409,6941352,6945133,6948621,6952171,
ENSDARG00000086458	1	chr25	+	5015019	5033064	5015241,5018414,5018590,5018979,5020278,5020484,5022100,5022278,5022830,5024430,5024615,5024887,5025379,5026881,5027048,5027187,5028998,5029291,5032823,	5018280,5018494,5018882,5020174,5020416,5021974,5022213,5022771,5024341,5024509,5024820,5025121,5026788,5026963,5027134,5028920,5029097,5032664,5032950,
ENSDARG00000062968	1	chr4	+	9911043	10002050	9911725,9941607,9942781,9943132,9944189,9949614,9953868,9954182,9955389,9957379,9961835,9962126,9962520,9962696,9964262,9964885,9966265,9967959,9968213,9969488,9974865,9975318,9979907,9980481,9981927,9982905,9983442,9984052,9984626,9985363,9986396,9988382,9988599,9988870,9990568,9990901,9991474,9993668,9993950,9995922,9996212,	9941522,9942644,9943007,9944079,9949585,9953763,9954050,9955281,9957266,9961758,9962013,9962392,9962598,9964058,9964773,9966116,9967891,9968052,9969223,9974693,9975245,9979715,9980354,9981752,9982769,9983235,9983856,9984489,9985268,9986224,9988206,9988498,9988685,9990442,9990771,9991235,9993561,9993745,9995835,9996081,9998197,
ENSDARG00000045956	1	chr17	+	2727807	2765947	2727879,2734743,2751924,2756283,2756742,2762418,	2734337,2751807,2756123,2756550,2762276,2765297,
ENSDARG00000098578	1	chr3	-	12924930	12970418	12925983,12929659,12930217,12945739,12953179,12968903,	12929532,12930088,12945549,12953054,12968804,12969862,
ENSDARG00000101106	1	chr1	-	44027611	44037843	44032854,44034519,	44034401,44036755,
ENSDARG00000073704	1	chr21	-	32476709	32487061	32478259,	32486932,
ENSDARG00000076196	1	chr12	-	46209859	46228023	46210410,46210787,46211246,46216320,46217320,46217522,46218108,46218570,46219632,46220110,46220656,46222073,46222542,46225146,46227654,46227801,	46210625,46211001,46216163,46217136,46217397,46218034,46218190,46219546,46219721,46220267,46222002,46222153,46224745,46227628,46227741,46227974,
ENSDARG00000053070	1	chr3	+	37649436	37660860	37649621,37650229,37654596,37656281,37656532,	37650165,37654488,37656149,37656392,37660012,
ENSDARG00000011434	1	chr17	+	14886828	14894144	14887854,	14893833,
ENSDARG00000055437	1	chr9	-	34970418	34974416	34970928,34971562,34971766,34973155,34974143,	34971291,34971649,34972992,34974011,34974296,
ENSDARG00000045378	1	chr24	+	14801844	14810634	14801960,14804005,14805287,14805566,14806711,	14803675,14805169,14805434,14806596,14810287,
ENSDARG00000055722	1	chr5	-	30052714	30079434	30057201,30057454,30058436,30060889,30061178,30062399,30062744,30062929,30065642,30068573,30070556,30074297,	30057344,30058254,30060752,30061011,30062239,30062616,30062827,30065527,30068362,30070376,30074244,30079337,
ENSDARG00000087375	1	chr7	-	2427600	2430286	2429206,	2430181,
ENSDARG00000052039	1	chr1	-	58050905	58064738	58051565,58053590,58053922,58054241,58054543,58058628,58059143,	58053481,58053824,58054010,58054367,58058411,58058867,58064694,
ENSDARG00000076229	1	chr12	+	18718065	18787459	18718229,18719102,18732905,18768086,18774481,18774649,18775165,18778883,18779558,18779894,18780775,18781286,18782669,18782957,18783454,18784852,18785070,18785237,	18719033,18732707,18768021,18774426,18774574,18775019,18778723,18779442,18779647,18780604,18780900,18781761,18782754,18783356,18784718,18784984,18785177,18786009,
ENSDARG00000057556	0	chr21	+	19061528	19067488	19062291,19062410,19063358,19066902,19067242,	19062370,19063224,19066804,19067051,19067441,
ENSDARG00000074894	1	chr21	-	13045388	13051613	13051108,	13051351,
ENSDARG00000096765	1	chr20	-	43597003	43602650	43597163,43597458,43598168,43598436,43600547,	43597282,43597790,43598294,43599666,43602331,
ENSDARG00000099183	1	chr19	+	18493782	18597568	18494120,18506994,18523535,18524695,18525480,18525715,18532495,18574774,18588363,	18506846,18523346,18524550,18525291,18525570,18532306,18574632,18588200,18597248,
ENSDARG00000042920	1	chr22	+	15315655	15318280	15315914,15316647,15316853,15317076,15317352,	15316445,15316727,15316982,15317172,15318082,
ENSDARG00000070981	1	chr19	+	9033376	9087619	9033457,9043734,9048658,9050891,9051177,9051363,9051936,9054249,9054565,9055906,9058046,9058573,9062173,9064894,9065061,9067266,9070616,9071061,9072505,9072871,9075582,9075870,9077564,9078850,9079132,9081583,	9042945,9044290,9050144,9051010,9051269,9051863,9054204,9054457,9055700,9057969,9058427,9062065,9064733,9064991,9067100,9070464,9071007,9072373,9072599,9075496,9075780,9077426,9078678,9078966,9081103,9084537,
ENSDARG00000038258	1	chr2	-	5456541	5466708	5458099,5460695,5460923,5462593,5463553,5463649,5463883,5466179,5466405,	5460578,5460802,5462453,5463443,5463625,5463726,5466096,5466349,5466655,
ENSDARG00000018206	1	chr9	-	6393368	6502491	6396563,6400379,6415584,	6399589,6415343,6501924,
ENSDARG00000109626	1	chr12	-	46283843	46315898	46283982,46285080,46285457,46285940,46286224,46287208,46303377,46303946,46304408,46308051,46308540,46309071,46309229,46309722,46310593,46315563,46315715,	46284978,46285295,46285695,46286067,46287024,46303252,46303872,46304028,46307974,46308148,46308682,46309158,46309333,46310195,46315537,46315655,46315867,
ENSDARG00000017665	1	chr25	+	13498188	13526319	13498452,13510525,13522139,13524588,13524797,	13509848,13521998,13524376,13524681,13524918,
ENSDARG00000012368	1	chr9	-	49808483	49860756	49808750,49810923,49811133,49813556,49815592,49817030,49821555,49821784,49824174,49826841,49829269,49829705,49829950,49832321,49835021,49836615,49839477,49839839,49841345,49845583,49847541,49847860,49850421,49853654,49854589,49857194,49857430,49857652,	49810856,49811013,49813332,49815397,49816869,49821405,49821703,49824064,49826653,49829163,49829567,49829840,49832249,49834783,49836391,49839320,49839710,49841145,49845486,49847349,49847762,49850337,49853497,49854467,49857028,49857320,49857523,49860577,
ENSDARG00000012274	1	chr13	+	18311498	18323696	18311589,18314180,18318925,18319098,18321240,18321489,	18314086,18318830,18319035,18321127,18321350,18323293,
ENSDARG00000024314	1	chr18	+	17600570	17611849	17601011,17601471,17602432,17602937,17603558,17604790,17605824,	17601394,17602349,17602789,17603448,17604425,17605707,17607541,
ENSDARG00000057571	1	chr21	-	19001677	19006631	19002005,19005661,	19005481,19006123,
ENSDARG00000099339	1	chr7	+	54222209	54308069	54222522,54260129,54263662,54269234,54270692,54274136,54282522,54285037,54296376,	54260030,54263506,54268999,54270537,54273961,54282402,54284907,54296216,54307041,
ENSDARG00000105643	1	chr7	-	28648706	28658143	28650653,28653110,28653746,28654380,28654977,28655205,28655454,28655672,28655897,28657590,	28652952,28653599,28654312,28654892,28655065,28655405,28655536,28655748,28657437,28657965,
ENSDARG00000093240	1	chr23	-	41800406	41821825	41805481,41806805,41808054,41809116,41812547,41817685,41818109,41818960,	41806683,41807917,41809048,41812390,41817582,41817985,41818881,41821066,
ENSDARG00000077092	1	chr11	-	38470545	38492564	38471880,38474302,38477281,38480907,38487568,	38474186,38477078,38480206,38487270,38491906,
ENSDARG00000011863	1	chr22	-	38394502	38459454	38394937,38396309,38397421,38398563,38400550,38401090,38401373,38407674,38407909,38408195,38409946,38411011,38413340,38415215,38418438,38420866,38424148,38424603,38429059,	38396131,38397270,38398483,38400321,38400938,38401173,38407547,38407765,38408046,38409827,38410876,38413204,38414949,38418308,38420719,38423964,38424501,38428763,38459085,
ENSDARG00000053702	1	chr14	-	30961549	30967284	30962614,30962783,30963622,30963859,30964083,30966086,30966785,	30962699,30963535,30963709,30963944,30965911,30966698,30967215,
ENSDARG00000039820	0	chr13	+	4225173	4232690	4225250,4226729,4228358,	4226438,4228250,4231253,
ENSDARG00000035333	1	chr10	+	33588715	33594110	33588999,33589339,33590561,33590773,	33589273,33590439,33590671,33593399,
ENSDARG00000069011	1	chr18	+	16426266	16442814	16426284,16432224,16435636,16437519,16437922,16440017,	16432131,16435502,16437426,16437745,16439885,16442675,
ENSDARG00000094914	1	chr8	+	20918207	20922691	20918315,20918653,20921532,	20918440,20921411,20922526,
ENSDARG00000075930	1	chr21	-	32508908	32684570	32513768,32520607,32522721,32523652,32523939,32525180,32528710,32529094,32534281,32536590,32549205,32552263,32552623,32555712,32559612,32562442,32563279,32565771,32581454,32614250,32680660,	32520533,32522592,32523445,32523807,32525021,32528547,32529014,32534158,32536457,32549030,32552118,32552510,32555580,32559469,32562337,32563123,32565688,32581258,32614082,32680275,32684486,
ENSDARG00000007180	1	chr18	+	5510251	5520076	5510330,5514734,5515717,5516457,5517176,5517381,5518142,	5514286,5515571,5516304,5516954,5517338,5518008,5518524,
ENSDARG00000069833	1	chr16	+	33144112	33154518	33144168,33144528,33145750,33146384,33149089,33149234,33149437,	33144308,33145602,33146272,33148989,33149174,33149376,33151103,
ENSDARG00000016531	1	chr14	+	26796684	26843597	26796979,26806058,26825621,26830259,26830692,26836249,26837660,26838089,	26805390,26825454,26830123,26830496,26836037,26837474,26837865,26843267,
ENSDARG00000098123	1	chr6	-	23955755	24053404	23955952,23959128,	23959016,24053367,
ENSDARG00000079992	1	chr17	-	36849722	36860988	36850395,36850668,36852193,36852346,36852475,36853245,36855130,36855328,36855519,36855726,36857063,36857463,36857712,36859437,36859701,36859873,36860123,36860265,36860440,36860626,	36850524,36852125,36852297,36852417,36853058,36855038,36855206,36855403,36855599,36857016,36857282,36857557,36859404,36859528,36859788,36860058,36860237,36860360,36860526,36860792,
ENSDARG00000038156	1	chr10	-	42134256	42147318	42138446,42140313,42141249,42141371,42141550,42143163,42143463,42146665,42146825,	42140167,42141174,42141325,42141490,42143040,42143332,42146590,42146751,42147256,
ENSDARG00000021107	0	chr2	-	57825432	57837838	57825788,57828849,57830465,57830606,57831507,57831623,57834980,	57828781,57830325,57830557,57831398,57831577,57834759,57837779,
ENSDARG00000087798	1	chr23	+	41800052	41802335	41800200,	41801298,
ENSDARG00000026723	1	chr17	+	50261603	50285417	50261727,50268186,50271269,50272786,50273012,50275091,50275308,50276038,50278169,50278369,50278889,	50268025,50271151,50272679,50272899,50274915,50275173,50275833,50278020,50278248,50278529,50284783,
ENSDARG00000013871	1	chr10	-	17135631	17159761	17136442,17138953,17140978,17142718,17142950,17145045,17145910,17150132,17150296,17153178,17154734,17154912,17155833,17157433,	17138848,17140763,17142550,17142800,17144938,17145775,17149921,17150216,17153073,17154630,17154853,17155729,17157362,17159546,
ENSDARG00000055317	1	chr6	+	39812475	39831089	39814009,	39829914,
ENSDARG00000057568	1	chr21	+	19008168	19011040	19009211,19009411,	19009287,19009492,
ENSDARG00000025386	1	chr23	+	553396	567183	553656,555981,558560,560610,562473,562931,564992,565628,	555818,558425,560455,562387,562770,564836,565455,566779,
ENSDARG00000011405	0	chr16	+	31921812	31927522	31922902,31923138,31923503,	31923016,31923317,31924386,
ENSDARG00000002523	1	chr10	+	11265387	11283239	11265403,11267666,11275207,11275421,11276492,11276881,11279045,11279310,11279559,11280245,	11267503,11275109,11275307,11276389,11276783,11278851,11279239,11279419,11280117,11280332,
ENSDARG00000041791	1	chr18	-	16387745	16590056	16388901,16390898,16391836,16490760,	16390751,16391685,16490671,16589696,
ENSDARG00000053525	1	chr12	-	32423375	32426685	32423613,32423834,32424409,32425131,32426021,	32423711,32424166,32424499,32425876,32426367,
ENSDARG00000093079	1	chr2	-	5457388	5475921	5458099,5460695,5460923,5473013,5474688,5474784,5475018,5475392,5475618,	5460578,5460802,5472873,5474578,5474760,5474861,5475309,5475562,5475868,
ENSDARG00000013830	1	chr23	+	9508538	9551967	9508646,9523222,9530209,9530483,9533243,9535380,9535738,9538638,9538813,9542645,9548177,9549360,9549549,	9523083,9530086,9530408,9533109,9535283,9535556,9538531,9538724,9542519,9548055,9549237,9549459,9551208,
ENSDARG00000019004	1	chr22	-	7009062	7025393	7010222,7010415,7012963,7016506,7016684,7018039,7018294,7018535,7019204,7019444,7019731,7020008,	7010314,7012841,7016371,7016587,7017878,7018193,7018419,7019082,7019322,7019689,7019836,7025160,
ENSDARG00000090914	1	chr11	-	38505157	38513978	38509339,38510469,	38509470,38513822,
ENSDARG00000071103	0	chr22	-	28207968	28226948	28208436,28210291,28213544,	28209971,28213504,28226855,
ENSDARG00000060911	1	chr10	+	11282883	11312342	11283065,11287635,11298685,11299075,11300915,11311010,	11286624,11298566,11298758,11300820,11310945,11311309,
ENSDARG00000042933	0	chr18	-	5506025	5509616	5506392,5506586,5506746,5509092,	5506500,5506659,5508969,5509414,
ENSDARG00000044457	1	chr6	-	29004062	29007493	29004240,29005198,29005449,29005942,29007035,	29005033,29005312,29005548,29006835,29007345,
